ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,Population,% of world,Date
99,Jamaica,JM,JAM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.021,-0.038,-0.116,-0.042,-0.219,0.014,-0.214,-0.132,0.238,-0.241,-0.361,0.0,0.309,0.151,0.246,-0.325,,,,0.604,0.852,0.285,0.598,0.178,0.205,0.223,1.093,0.949,0.534,0.56,0.617,0.93,0.607,1.097,1.062,0.531,0.99,1.395,0.753,0.408,0.661,0.943,1.119,0.95,1.037,1.029,0.939,0.551,0.819,1.183,0.578,0.719,0.988,1.212,1.401,1.395,1.076,1.249,1.524,1.623,1.267,1.14,2774538,0.03,2022-09-12
100,Japan,JP,JPN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.668,0.125,-0.053,0.266,-0.519,0.019,0.034,-0.498,-0.049,-0.381,-0.334,0.227,0.325,-0.488,0.041,-0.506,-0.154,0.232,0.458,-0.206,-0.631,-0.041,0.107,-0.605,0.13,-0.686,0.326,-0.154,0.556,1.132,0.726,0.333,0.012,0.965,0.348,-0.127,0.454,1.199,0.948,0.636,0.418,0.63,0.326,1.116,0.737,0.39,1.004,0.671,0.801,0.922,0.596,0.395,0.628,0.56,0.833,1.323,0.796,0.926,1.272,1.437,1.27,1.335,122950000,1.5,2026-01-01
101,Jordan,JO,JOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.189,0.983,0.784,-0.655,-0.005,0.742,-1.048,-0.129,0.383,0.196,-0.405,-0.626,-0.491,-0.334,-0.507,-0.726,-0.001,-0.005,0.77,-0.113,-0.158,-0.682,-1.071,-0.227,-0.009,0.069,-0.122,0.03,-0.065,-0.03,0.521,-1.11,-0.503,0.941,-0.047,0.487,-0.176,1.023,1.052,0.375,0.983,0.666,0.498,0.62,0.103,0.752,0.516,0.732,0.549,2.625,0.506,1.067,1.002,0.787,1.429,1.641,0.92,1.972,1.281,1.617,1.923,1.358,11734000,0.1,2024-12-31
103,Kenya,KE,KEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.258,-0.242,-0.191,-0.442,-0.299,0.062,-0.064,-0.641,0.086,0.181,-0.272,0.216,0.535,-0.069,-0.067,0.229,0.216,-0.023,0.055,0.561,0.183,0.297,0.609,0.173,-0.057,0.133,0.73,0.589,-0.208,-0.05,0.258,0.406,0.048,0.488,0.356,0.366,0.415,0.25,0.24,0.521,0.602,0.734,0.879,0.648,0.762,0.89,0.634,0.824,1.293,1.106,1.137,1.026,0.93,1.024,1.164,1.237,1.5,0.675,1.624,1.344,1.421,1.28,53330978,0.6,2025-07-01
104,Kiribati,KI,KIR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.038,-0.132,-0.073,-0.177,-0.347,-0.025,-0.037,-0.014,0.362,0.111,-0.442,-0.294,0.145,-0.144,-0.225,-0.218,0.145,0.247,0.171,0.214,0.253,0.179,0.122,-0.138,0.062,0.328,0.11,0.073,-0.203,0.222,0.251,0.144,-0.192,0.096,0.404,0.291,0.087,0.498,-0.142,0.125,0.406,0.508,0.591,,,0.571,0.547,0.25,0.603,0.312,0.328,0.428,0.628,0.768,0.902,1.229,1.041,0.947,0.949,1.425,,,120740,0.001,2021-07-01
107,Kuwait,KW,KWT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.225,0.8,0.485,-0.781,0.051,0.776,-0.621,-0.253,0.375,0.514,-0.178,-0.766,-0.274,-0.341,-0.254,-0.649,0.366,0.036,1.291,0.497,0.418,-0.142,-0.622,0.256,0.003,0.467,0.723,0.449,0.141,0.396,0.535,-0.523,-0.095,0.993,0.217,0.929,0.528,1.346,2.064,1.28,1.27,1.604,1.564,1.519,0.724,1.911,1.085,1.434,1.323,2.602,1.373,1.562,1.349,1.451,2.104,1.695,1.962,2.358,1.895,1.975,2.676,2.275,4881254,0.06,2025-01-01
110,Latvia,LV,LVA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.587,0.401,0.689,1.626,-0.411,0.766,0.657,1.562,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987,1.953,1824800,0.02,2025-12-01
111,Lebanon,LB,LBN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.002,0.852,0.749,-0.719,-0.09,0.683,-0.944,-0.089,0.223,0.389,-0.306,-0.675,-0.535,-0.226,-0.253,-0.667,0.094,0.019,0.693,-0.229,0.017,-0.496,-0.958,-0.081,-0.015,0.233,-0.229,0.019,0.129,0.059,0.411,-1.017,-0.433,1.048,0.044,0.39,-0.103,1.001,1.1,0.544,1.146,0.833,0.626,0.647,0.28,0.72,0.728,0.989,0.844,2.353,0.663,1.045,1.26,1.051,1.383,1.629,1.023,2.154,1.412,1.623,2.039,1.29,5490000,0.07,2021-07-01
113,Liberia,LR,LBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.095,-0.074,0.154,-0.133,-0.259,0.05,-0.149,-0.076,0.147,0.272,-0.131,0.025,0.504,0.023,-0.121,-0.193,0.237,0.246,0.55,0.417,0.171,0.249,0.536,0.388,0.282,0.173,0.951,0.824,0.364,0.581,0.52,0.246,0.529,0.533,0.653,0.587,0.972,1.297,0.781,0.56,0.513,0.875,0.938,0.911,1.108,1.119,1.041,1.131,1.365,1.42,1.102,0.869,0.983,0.934,1.288,1.412,1.539,1.306,1.494,1.593,1.474,1.556,5248621,0.06,2022-11-10
114,Libya,LY,LBY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.473,0.208,0.23,-0.051,-0.077,0.251,-0.557,0.008,0.815,-0.223,-0.195,0.179,-0.188,-0.132,-0.449,-0.55,0.246,-0.26,0.302,-0.051,0.022,0.136,-0.332,-0.076,0.099,0.236,0.06,1.051,-0.006,0.557,0.231,-0.404,0.306,0.47,0.344,0.541,0.472,0.76,1.248,0.306,1.291,0.905,0.95,0.745,0.717,0.81,0.86,0.879,0.764,2.074,0.819,0.77,1.24,1.237,0.711,1.587,0.525,1.737,0.92,1.174,1.924,0.559,7459000,0.09,2025-07-01
115,Liechtenstein,LI,LIE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",1.052,-0.483,-0.775,0.058,-0.84,0.407,0.545,0.013,-0.015,-0.553,-0.078,0.077,-0.024,0.177,0.68,0.293,0.272,-0.354,-0.081,-0.159,0.045,0.544,0.942,-0.371,-0.336,0.383,-0.045,0.929,1.089,1.308,0.184,1.09,0.635,1.925,0.9,-0.033,0.942,1.208,0.979,1.464,1.44,1.382,1.67,0.899,0.663,0.955,1.931,1.385,1.405,0.48,1.657,1.611,0.927,2.232,2.046,2.028,1.795,2.26,2.079,2.367,1.232,2.534,41024,0.0005,2024-06-30
116,Lithuania,LT,LTU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.485,0.297,0.947,1.515,-0.518,0.521,0.74,1.49,2.026,1.804,1.917,0.182,0.883,1.206,0.923,2.196,2.221,1.396,0.766,0.957,1.37,0.967,2.238,2.095,1.944,1.542,2.427,2.642,3.445,1.792,1.96,2897009,0.04,2026-01-01
117,Luxembourg,LU,LUX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651,1.433,1.393,1.692,1.013,1.129,1.357,1.94,1.279,1.188,0.325,1.343,1.262,0.569,2.475,1.528,1.877,1.647,2.468,2.155,2.632,1.158,2.926,681973,0.008,2025-01-01
119,Malawi,MW,MWI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.314,-0.149,-0.427,-0.267,-0.572,0.149,0.09,-0.271,0.29,0.164,-0.27,-0.008,0.3,-0.325,-0.147,-0.085,0.504,0.265,0.131,0.231,-0.191,0.0,1.038,0.363,0.016,0.162,0.679,0.693,0.174,0.616,0.15,0.749,0.153,0.27,0.794,0.189,0.626,1.031,0.349,0.797,0.592,0.963,0.982,0.879,1.366,0.997,0.904,0.512,0.648,1.03,0.771,0.925,0.676,1.129,1.141,1.361,1.016,1.022,1.22,1.306,0.762,0.816,20734262,0.3,2025-07-01
120,Malaysia,MY,MYS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.07,-0.085,-0.107,0.036,-0.231,0.131,-0.134,-0.108,0.225,0.115,-0.243,0.049,0.262,-0.193,-0.029,-0.239,0.073,0.249,0.379,0.292,0.256,0.27,0.689,0.052,0.244,0.281,0.59,0.525,0.181,0.548,0.464,0.429,0.278,0.42,0.544,0.481,0.69,1.279,0.483,0.449,0.689,0.785,0.781,0.755,0.938,0.707,0.763,0.628,0.865,1.111,0.754,0.901,1.121,1.199,1.372,1.836,1.419,1.443,1.7,1.688,1.473,1.367,34281100,0.4,2025-09-30
121,Maldives,MV,MDV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,-0.061,,,,0.42,-0.155,-0.23,0.241,,,0.21,0.574,-0.148,-0.318,0.005,0.011,-0.158,0.073,0.15,0.092,0.269,0.413,0.169,-0.072,0.149,0.595,0.787,-0.005,0.528,0.566,0.174,0.209,0.409,0.681,0.418,0.573,0.917,0.297,0.255,0.46,0.618,0.518,0.387,0.775,0.317,0.363,0.169,0.53,0.683,0.561,0.573,0.662,0.766,0.982,1.555,1.126,0.84,1.131,1.17,1.122,0.784,515132,0.006,2022-09-13
122,Mali,ML,MLI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.301,-0.145,0.213,-0.13,-0.299,0.005,-0.124,-0.287,0.665,0.365,-0.007,0.278,0.508,-0.435,-0.471,-0.374,0.362,0.36,0.646,0.97,0.395,0.264,0.83,0.609,0.512,0.304,1.081,0.784,0.107,0.903,0.685,0.194,1.026,0.206,0.57,1.161,0.87,1.214,0.375,0.647,0.583,1.246,1.238,1.214,1.396,1.097,0.933,0.548,0.96,1.63,1.207,0.426,0.969,0.787,1.017,1.089,1.347,1.04,1.089,1.01,1.687,0.887,22395489,0.3,2022-06-15
123,Malta,MT,MLT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.551,0.35,-0.204,0.26,-0.218,0.149,0.131,-0.033,-0.129,-0.144,-0.272,-0.294,-0.003,-0.251,-0.383,-0.706,0.304,-0.602,0.036,-0.504,-0.344,0.623,0.037,-0.267,0.426,0.4,0.525,1.194,0.206,1.235,0.147,0.275,0.625,1.421,0.461,0.639,1.054,0.876,1.268,1.055,1.669,0.942,1.401,0.699,0.67,0.996,1.398,1.271,1.08,1.243,1.013,1.44,1.343,1.507,1.403,1.748,1.224,1.441,1.29,1.643,2.123,1.955,574250,0.007,2024-12-31
127,Mauritius,MU,MUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.524,-0.111,-0.155,-0.246,-0.208,-0.019,0.12,-0.213,0.296,0.333,-0.32,0.133,-0.075,-0.686,-0.105,0.018,0.556,0.345,0.369,0.411,0.199,0.316,0.286,-0.21,-0.06,0.181,0.656,0.443,0.063,0.22,0.492,0.157,0.179,0.466,0.314,0.042,0.585,0.827,0.211,0.173,0.499,0.401,0.69,0.313,0.381,0.312,0.537,0.294,0.797,1.076,0.865,0.665,0.797,0.905,1.158,1.084,1.319,1.051,1.462,1.109,0.987,0.595,1243741,0.02,2025-07-01
129,Mexico,MX,MEX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.145,0.19,0.23,-0.284,-0.057,-0.238,-0.098,-0.414,0.179,-0.3,-0.066,0.304,-0.167,-0.088,-0.332,-0.495,-0.012,0.166,-0.08,0.38,0.162,0.573,0.024,-0.102,0.097,0.298,-0.119,0.174,0.493,0.274,0.268,0.086,0.327,0.711,0.81,0.567,0.5,0.736,0.642,0.634,0.549,0.73,0.894,0.365,0.806,0.93,0.503,0.558,1.053,0.306,1.026,0.948,0.798,0.911,1.141,1.346,1.629,1.24,1.378,1.726,1.163,1.249,130760049,1.6,2025-09-30
132,Monaco,MC,MCO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.739,-0.048,-0.631,0.408,-0.464,0.21,0.432,0.013,-0.228,-0.017,0.002,-0.114,0.288,-0.086,0.195,0.044,-0.039,-0.403,-0.018,-0.353,-0.083,0.55,0.494,-0.603,-0.106,0.433,0.196,0.758,0.908,1.284,0.107,0.651,0.461,1.302,0.672,0.211,1.297,0.922,0.924,1.112,1.381,0.916,1.645,0.851,0.806,1.183,1.643,1.103,1.468,0.452,1.403,1.396,0.724,1.811,1.902,1.773,1.962,1.94,1.919,2.2,1.5,2.737,38423,0.0005,2024-12-31
133,Mongolia,MN,MNG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.17,-0.106,1.202,-0.174,0.857,0.371,-0.458,-0.813,-0.861,-0.306,-0.038,0.234,0.689,0.193,0.49,-0.2,0.065,0.908,0.951,0.473,0.217,1.135,0.601,-0.353,-0.444,0.361,0.166,0.63,1.334,1.53,1.08,0.81,0.454,1.329,1.268,0.41,1.933,2.117,1.764,0.98,1.684,1.786,0.49,1.76,0.923,1.221,2.729,1.759,1.397,0.306,0.757,0.23,1.024,1.879,2.131,1.391,2.493,2.207,1.847,2.353,1.994,2.197,3544835,0.04,2024-12-31
134,Montenegro,ME,MNE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,1.702,1.267,1.227,1.185,0.985,1.653,1.444,1.503,1.702,1.474,1.275,2.232,1.823,1.706,1.596,1.865,623327,0.008,2025-01-01
136,Morocco,MA,MAR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.57,0.401,0.179,0.486,-0.286,0.433,-0.032,-0.151,0.03,0.108,-0.775,-1.303,0.062,-0.402,-0.221,-0.819,0.041,0.316,0.438,0.548,0.414,0.431,0.724,0.208,0.797,0.19,0.993,0.837,0.665,1.409,0.133,0.246,0.222,1.019,1.174,0.936,1.271,1.483,0.976,0.845,1.745,1.108,1.593,1.029,1.188,1.389,0.93,1.069,1.16,2.02,1.698,1.299,1.233,1.603,1.115,1.84,2.131,0.597,1.466,2.107,1.798,2.303,36828330,0.4,2024-09-01
138,Myanmar,MM,MMR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.024,-0.112,-0.169,0.036,-0.315,0.377,-0.058,-0.17,0.187,-0.044,-0.414,-0.013,0.263,-0.252,0.183,-0.391,-0.117,0.076,0.516,0.298,0.299,0.08,0.156,0.086,0.19,0.091,0.569,0.408,0.338,0.215,0.509,0.101,0.126,0.494,0.654,0.439,0.272,1.192,0.926,0.223,0.634,0.676,0.653,0.6,0.932,0.855,0.507,0.495,0.918,1.203,0.51,0.915,0.986,0.902,1.245,1.443,1.328,1.064,1.726,1.669,1.656,1.436,51375327,0.6,2024-10-15
139,Namibia,,NAM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.184,-0.051,0.071,-0.081,-0.083,0.106,-0.159,-0.206,0.159,0.427,-0.157,0.033,0.624,-0.71,0.024,-0.539,0.2,-0.066,0.432,0.269,0.1,0.431,0.769,0.853,0.591,0.38,1.1,0.482,-0.289,0.726,0.211,0.658,0.702,0.315,1.004,0.19,0.048,1.284,0.85,-0.041,0.414,0.918,1.293,0.858,0.815,-0.079,0.997,0.672,0.462,1.214,-0.478,-0.128,0.759,0.439,1.215,1.473,0.818,1.11,1.821,0.601,-0.059,0.239,3022401,0.04,2023-09-24
141,Nepal,NP,NPL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.13,-0.448,-0.184,0.177,-0.356,0.247,-0.254,-0.394,0.119,0.128,-0.561,0.024,0.161,0.15,-0.128,-0.035,-0.022,-0.41,0.318,0.121,-0.087,-0.164,-0.423,-0.079,0.324,-0.063,0.349,0.595,0.079,-0.035,0.075,-0.073,-0.177,0.158,0.305,0.208,-0.413,0.313,0.64,0.082,0.448,0.551,0.306,0.351,0.678,0.796,0.727,0.347,1.119,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632,1.132,29911840,0.4,
144,New Zealand,NZ,NZL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.282,0.581,-0.356,-0.455,-0.451,-0.233,-0.184,-0.086,-0.374,0.596,0.684,0.119,0.196,0.363,0.588,-0.51,-0.388,0.387,0.316,0.007,0.427,-0.062,-0.294,0.174,0.398,0.382,0.397,0.488,0.736,0.572,-0.028,-0.716,-0.38,-0.077,0.108,0.244,-0.128,0.981,1.009,0.265,0.572,0.42,0.238,0.033,0.443,0.391,0.237,0.564,0.059,0.598,0.673,0.125,0.999,0.544,0.568,1.214,0.627,1.173,1.118,0.912,0.982,1.319,5334200,0.06,2025-09-30
